City,Country,Place to Visit,Emotion 1,Emotion 2,Emotion 3,Emotion 4,Emotion 5,Lat,Lon,Expense/Day,Description,Image
Paris,France,Eiffel Tower,Happy,Proud,Surprised,Peaceful,In Awe,48.8584,2.2945,120,"Paris, the City of Lights, enchants with iconic landmarks like the Eiffel Tower, art-filled museums, and charming streets. Dive into its world-class cuisine, romance, and unforgettable ambiance along the Seine River.",https://images.unsplash.com/photo-1492136344046-866c85e0bf04?q=80&w=2064&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
New York,USA,Central Park,Serene,Wanderlust,Hopeful,Neutral,Grateful,40.7851,-73.9683,100,"New York City pulses with life, offering iconic sights like Times Square, Central Park, and the Statue of Liberty. Discover endless energy, world-class dining, and vibrant neighborhoods in the city that never sleeps.",https://media.cntraveler.com/photos/58d5450f9033b024213c8e8e/master/pass/GettyImages-125756141.jpg?mbid=social_retweet
Tokyo,Japan,Shibuya Crossing,Excited,Confident,Nervous,Adventurous,Curious,35.6595,139.7004,90,"Tokyo is a dazzling fusion of tradition and innovation, where ancient temples coexist with futuristic skyscrapers",https://images.unsplash.com/photo-1569272955451-820d57840fcd?q=80&w=1984&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Venice,Italy,Grand Canal,Peaceful,Romantic,Happy,Relieved,Inspired,45.4408,12.3155,130,"Venice, the enchanting city of canals, captivates with its romantic gondola rides and stunning architecture.",https://plus.unsplash.com/premium_photo-1661964022501-12cce254e8cb?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rome,Italy,Colosseum,Neutral,Proud,Historic,Excited,Jealous,41.8902,12.4922,110,"Rome, the Eternal City, boasts a rich tapestry of history, from the majestic Colosseum to the stunning Vatican",https://plus.unsplash.com/premium_photo-1661963265512-73e8d1053b9a?q=80&w=2055&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Kyoto,Japan,Fushimi Inari Shrine,Curious,Peaceful,Nostalgic,Hopeful,Culturally Connected,34.9671,135.7727,85,"Kyoto, a serene city steeped in tradition, dazzles with its stunning temples, tranquil gardens, and historic tea houses.",https://images.unsplash.com/photo-1632923754832-60642c12a7ed?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Cape Town,South Africa,Table Mountain,Hopeful,Adventurous,Proud,Confident,Wanderlust,-33.9628,18.4098,70,"Cape Town, South Africa, is known for its stunning Table Mountain, vibrant cultural scene, and beautiful beaches.",https://plus.unsplash.com/premium_photo-1697730061063-ad499e343f26?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rio de Janeiro,Brazil,Christ the Redeemer,In Awe,Grateful,Proud,Happy,Thrilled,-22.9519,-43.2105,80,"Rio de Janeiro, Brazil, is famous for its Copacabana beach, Sugarloaf Mountain, and the annual Carnival festival.",https://plus.unsplash.com/premium_photo-1671211307997-f4f552b0601c?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Santorini,Greece,Oia Sunset,Fearful,Happy,Romantic,Surprised,Serene,36.4618,25.3758,150,"Santorini, a Greek island, is known for its whitewashed buildings with blue domes, stunning sunsets, and volcanic beaches.",https://plus.unsplash.com/premium_photo-1661963643348-e95c6387ee8a?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
New Delhi,India,India Gate,Jealous,Hopeful,Confident,Neutral,Proud,28.6129,77.2295,60,"New Delhi, India’s capital, combines historic sites like the Red Fort with bustling markets and modern infrastructure.",https://images.unsplash.com/photo-1705861146215-893c716481e7?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
